sex,fnlwgt,race,education_num,marital_status,occupation,relationship,race,capital_gain,capital_loss,hours_per_week,native_country,education,workclass,,income,age
Female,309974,Black,13,Separated,Sales,Own-child,Black,0,0,40,United-States,Bachelors,Private,,<=50K,31
Male,162298,White,13,Married-civ-spouse,Sales,Husband,White,0,0,70,United-States,Bachelors,Self-emp-not-inc,,>50K,29
Male,211678,White,10,Never-married,Machine-op-inspct,Not-in-family,White,0,0,40,United-States,Some-college,Private,,<=50K,23
Male,124744,White,10,Married-civ-spouse,Prof-specialty,Other-relative,White,0,0,20,United-States,Some-college,Private,,<=50K,79
Male,213921,White,9,Never-married,Other-service,Own-child,White,0,0,40,Mexico,HS-grad,Private,,<=50K,27
Male,32214,White,12,Married-civ-spouse,Adm-clerical,Husband,White,0,0,40,United-States,Assoc-acdm,Private,,<=50K,40
Male,212759,White,6,Married-civ-spouse,?,Husband,White,0,0,2,United-States,10th,?,,<=50K,67
Female,309634,White,7,Never-married,Other-service,Own-child,White,0,0,22,United-States,11th,Private,,<=50K,18
Male,125927,White,4,Married-civ-spouse,Farming-fishing,Husband,White,0,0,40,United-States,7th-8th,Local-gov,,<=50K,31
Male,446839,White,9,Never-married,Sales,Not-in-family,White,0,0,30,United-States,HS-grad,Private,,<=50K,18
Male,276515,#NAME?,#NAME?,Married-civ-spouse,Other-service,Husband,#NAME?,0,0,40,Cuba,?,Private,,<=50K,52
Female,51618,White,9,Married-civ-spouse,Other-service,Wife,White,0,0,40,United-States,HS-grad,Private,,<=50K,46
Male,159937,White,9,Married-civ-spouse,Sales,Husband,White,0,0,48,United-States,HS-grad,Private,,<=50K,59
Female,343591,White,9,Divorced,Craft-repair,Not-in-family,White,14344,0,40,United-States,HS-grad,Private,,>50K,44
Female,346253,White,9,Divorced,Sales,Own-child,White,0,0,35,United-States,HS-grad,Private,,<=50K,53
Male,268234,White,9,Married-civ-spouse,Protective-serv,Husband,White,0,0,40,United-States,HS-grad,Local-gov,,>50K,49
Male,202051,White,14,Married-civ-spouse,Prof-specialty,Husband,White,0,0,50,United-States,Masters,Private,,<=50K,33
Male,54334,#NAME?,5,Never-married,Sales,Not-in-family,#NAME?,0,0,40,United-States,9th,Private,,<=50K,30
Female,410867,White,16,Never-married,Prof-specialty,Not-in-family,White,0,0,50,United-States,Doctorate,Federal-gov,,>50K,43
Male,249977,White,11,Married-civ-spouse,Prof-specialty,Husband,White,0,0,40,United-States,Assoc-voc,Private,,<=50K,57
Female,286730,White,10,Divorced,Craft-repair,Unmarried,White,0,0,40,United-States,Some-college,Private,,<=50K,37
Female,212563,Black,10,Divorced,Machine-op-inspct,Unmarried,Black,0,0,25,United-States,Some-college,Private,,<=50K,28
Female,117747,Asian-Pac-Islander,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,0,1573,35,?,HS-grad,Private,,<=50K,30
Male,226296,White,13,Married-civ-spouse,Protective-serv,Husband,White,0,0,40,United-States,Bachelors,Local-gov,,>50K,34
Male,115585,White,10,Never-married,Handlers-cleaners,Not-in-family,White,0,0,50,United-States,Some-college,Local-gov,,<=50K,29
Male,191277,White,16,Married-civ-spouse,Prof-specialty,Husband,White,0,1902,60,United-States,Doctorate,Self-emp-not-inc,,>50K,48
Male,202683,White,10,Married-civ-spouse,Sales,Husband,White,0,0,48,United-States,Some-college,Private,,>50K,37
Female,171095,White,12,Divorced,Exec-managerial,Unmarried,White,0,0,40,England,Assoc-acdm,Private,,<=50K,48
Male,249409,Black,9,Never-married,Other-service,Own-child,Black,0,0,40,United-States,HS-grad,Federal-gov,,<=50K,32
Male,124191,White,14,Married-civ-spouse,Exec-managerial,Husband,White,0,0,40,United-States,Masters,Private,,>50K,76
Male,198282,White,13,Married-civ-spouse,Exec-managerial,Husband,White,15024,0,60,United-States,Bachelors,Private,,>50K,44
Female,149116,White,14,Never-married,Prof-specialty,Not-in-family,White,0,0,50,United-States,Masters,Self-emp-not-inc,,<=50K,47
Female,188300,White,10,Never-married,Tech-support,Own-child,White,0,0,40,United-States,Some-college,Private,,<=50K,20
Male,103432,White,9,Never-married,Craft-repair,Not-in-family,White,0,0,40,United-States,HS-grad,Private,,<=50K,29
Male,317660,White,9,Married-civ-spouse,Craft-repair,Husband,White,7688,0,40,United-States,HS-grad,Self-emp-inc,,>50K,32
Female,304873,White,6,Never-married,?,Own-child,White,34095,0,32,United-States,10th,?,,<=50K,17
Male,194901,White,7,Never-married,Handlers-cleaners,Own-child,White,0,0,40,United-States,11th,Private,,<=50K,30
Female,189265,White,9,Never-married,Adm-clerical,Not-in-family,White,0,0,40,United-States,HS-grad,Local-gov,,<=50K,31
Male,124692,White,9,Married-civ-spouse,Handlers-cleaners,Husband,White,0,0,40,United-States,HS-grad,Private,,<=50K,42
Male,432376,#NAME?,13,Never-married,Sales,Other-relative,#NAME?,0,0,40,United-States,Bachelors,Private,,<=50K,24
Male,65324,White,15,Married-civ-spouse,Prof-specialty,Husband,White,0,0,40,United-States,Prof-school,Private,,>50K,38
Male,335605,White,9,Married-civ-spouse,Other-service,Husband,White,0,1887,50,Canada,HS-grad,Self-emp-not-inc,,>50K,56
Female,377869,White,10,Married-civ-spouse,Sales,Wife,White,4064,0,25,United-States,Some-college,Private,,<=50K,28
Female,102864,White,9,Never-married,Machine-op-inspct,Own-child,White,0,0,40,United-States,HS-grad,Private,,<=50K,36
Male,95647,White,5,Married-civ-spouse,Handlers-cleaners,Husband,White,0,0,50,United-States,9th,Private,,<=50K,53
Male,303090,White,10,Married-civ-spouse,Sales,Husband,White,0,0,50,United-States,Some-college,Self-emp-inc,,<=50K,56
Male,197371,#NAME?,11,Married-civ-spouse,Craft-repair,Husband,#NAME?,0,0,40,United-States,Assoc-voc,Local-gov,,>50K,49
Male,247552,White,10,Married-civ-spouse,Sales,Husband,White,0,0,56,United-States,Some-college,Private,,<=50K,55
Male,102632,White,9,Never-married,Craft-repair,Not-in-family,White,0,0,41,United-States,HS-grad,Private,,<=50K,22
Female,199915,White,10,Never-married,Other-service,Own-child,White,0,0,40,United-States,Some-college,Private,,<=50K,21
Male,118853,White,13,Married-civ-spouse,Exec-managerial,Husband,White,0,0,60,United-States,Bachelors,Private,,<=50K,40
Male,77143,Black,13,Never-married,Exec-managerial,Own-child,Black,0,0,40,Germany,Bachelors,Private,,<=50K,30
Male,267989,White,13,Married-civ-spouse,Prof-specialty,Husband,White,0,0,50,United-States,Bachelors,State-gov,,>50K,29
Male,301606,Black,10,Never-married,Other-service,Own-child,Black,0,0,35,United-States,Some-college,Private,,<=50K,19
Female,287828,White,13,Married-civ-spouse,Exec-managerial,Wife,White,0,0,40,United-States,Bachelors,Private,,>50K,47
Female,111697,White,10,Never-married,Adm-clerical,Own-child,White,0,1719,28,United-States,Some-college,Private,,<=50K,20
Male,114937,White,12,Married-civ-spouse,Adm-clerical,Husband,White,0,0,40,United-States,Assoc-acdm,Private,,>50K,31
Male,129305,White,9,Married-civ-spouse,?,Husband,White,0,0,40,United-States,HS-grad,?,,<=50K,35
Male,365739,White,10,Divorced,Craft-repair,Not-in-family,White,0,0,40,United-States,Some-college,Private,,<=50K,39
Female,69621,White,12,Never-married,Sales,Not-in-family,White,0,0,60,United-States,Assoc-acdm,Private,,<=50K,28
Female,43323,White,9,Never-married,Other-service,Not-in-family,White,0,1762,40,United-States,HS-grad,Private,,<=50K,24
Male,120985,White,9,Married-civ-spouse,Craft-repair,Husband,White,4386,0,35,United-States,HS-grad,Self-emp-not-inc,,<=50K,38
Male,254202,White,13,Married-civ-spouse,Sales,Husband,White,0,0,50,United-States,Bachelors,Private,,<=50K,37
Female,146195,Black,12,Divorced,Tech-support,Not-in-family,Black,0,0,36,United-States,Assoc-acdm,Private,,<=50K,46
Male,125933,White,14,Married-civ-spouse,Prof-specialty,Husband,White,0,0,40,Iran,Masters,Federal-gov,,>50K,38
Male,56920,White,9,Married-civ-spouse,Craft-repair,Husband,White,0,0,60,United-States,HS-grad,Self-emp-not-inc,,<=50K,43
Female,163127,White,11,Married-civ-spouse,Adm-clerical,Wife,White,0,0,35,United-States,Assoc-voc,Private,,<=50K,27
Male,34310,White,10,Never-married,Sales,Own-child,White,0,0,20,United-States,Some-college,Private,,<=50K,20
Male,81973,#NAME?,10,Married-civ-spouse,Craft-repair,Husband,#NAME?,0,0,40,United-States,Some-college,Private,,>50K,49
Male,66614,White,9,Married-civ-spouse,Craft-repair,Husband,White,0,0,40,United-States,HS-grad,Self-emp-inc,,<=50K,61
Female,232782,White,10,Never-married,Sales,Own-child,White,0,0,40,United-States,Some-college,Private,,<=50K,27
Male,316868,White,10,Never-married,Other-service,Own-child,White,0,0,30,Mexico,Some-college,Private,,<=50K,19
Female,196584,White,11,Never-married,Prof-specialty,Not-in-family,White,0,1564,40,United-States,Assoc-voc,Private,,>50K,45
Male,105376,White,10,Never-married,Tech-support,Other-relative,White,0,0,40,United-States,Some-college,Private,,<=50K,70
Female,185814,#NAME?,9,Never-married,Transport-moving,Unmarried,#NAME?,0,0,30,United-States,HS-grad,Private,,<=50K,31
Male,175374,White,10,Married-civ-spouse,Other-service,Husband,White,0,0,24,United-States,Some-college,Private,,<=50K,22
Female,108293,White,9,Widowed,Other-service,Unmarried,White,0,0,24,United-States,HS-grad,Private,,<=50K,36
Male,181232,White,7,Married-civ-spouse,Craft-repair,Husband,White,0,2179,40,United-States,11th,Private,,<=50K,64
Female,174662,White,10,Divorced,?,Not-in-family,White,0,0,40,United-States,Some-college,?,,<=50K,43
Female,186009,White,10,Divorced,Adm-clerical,Unmarried,White,0,0,38,Mexico,Some-college,Local-gov,,<=50K,47
Female,198183,White,9,Never-married,Adm-clerical,Not-in-family,White,0,0,40,United-States,HS-grad,Private,,<=50K,34
Female,163003,Asian-Pac-Islander,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,0,0,40,Philippines,Bachelors,Private,,<=50K,33
Male,296158,White,9,Never-married,Craft-repair,Own-child,White,0,0,35,United-States,HS-grad,Private,,<=50K,21
Male,252903,White,9,Divorced,?,Not-in-family,White,0,0,45,United-States,HS-grad,?,,>50K,52
Male,187715,#NAME?,9,Married-civ-spouse,Craft-repair,Husband,#NAME?,0,0,46,United-States,HS-grad,Private,,<=50K,48
Male,214542,White,13,Never-married,Handlers-cleaners,Not-in-family,White,0,0,40,United-States,Bachelors,Private,,<=50K,23
Male,494223,Black,10,Separated,Sales,Unmarried,Black,0,1816,2,United-States,Some-college,Self-emp-not-inc,,<=50K,71
Male,191535,White,9,Divorced,Craft-repair,Not-in-family,White,0,0,60,United-States,HS-grad,Private,,<=50K,29
Male,228456,Black,13,Separated,Other-service,Other-relative,Black,0,0,50,United-States,Bachelors,Private,,<=50K,42
Female,38317,White,2,Divorced,?,Not-in-family,White,0,0,20,United-States,1st-4th,?,,<=50K,68
Female,252752,White,9,Never-married,Other-service,Unmarried,White,0,0,40,United-States,HS-grad,Private,,<=50K,25
Female,78374,#NAME?,14,Divorced,Exec-managerial,Unmarried,#NAME?,0,0,40,United-States,Masters,Self-emp-inc,,<=50K,44
Female,88419,#NAME?,9,Never-married,Exec-managerial,Not-in-family,#NAME?,0,0,40,England,HS-grad,Private,,<=50K,28
Male,201080,White,14,Married-civ-spouse,Sales,Husband,White,0,0,40,United-States,Masters,Self-emp-not-inc,,>50K,45
Female,207157,White,10,Divorced,Other-service,Unmarried,White,0,0,40,Mexico,Some-college,Private,,<=50K,36
Male,235485,White,12,Never-married,Exec-managerial,Not-in-family,White,0,0,42,United-States,Assoc-acdm,Federal-gov,,<=50K,39
Male,102628,White,14,Widowed,Protective-serv,Unmarried,White,0,0,40,United-States,Masters,State-gov,,<=50K,46
Male,25828,White,7,Never-married,Handlers-cleaners,Own-child,White,0,0,16,United-States,11th,Private,,<=50K,18
Female,54826,White,11,Widowed,Prof-specialty,Not-in-family,White,0,0,20,United-States,Assoc-voc,Local-gov,,<=50K,66
Male,124953,White,9,Never-married,Other-service,Not-in-family,White,0,1980,40,United-States,HS-grad,Private,,<=50K,27
Male,175325,White,9,Married-civ-spouse,Protective-serv,Husband,White,0,0,40,United-States,HS-grad,State-gov,,<=50K,28
Male,96062,White,10,Married-civ-spouse,Sales,Husband,White,0,1977,40,United-States,Some-college,Private,,>50K,51
Male,428030,White,13,Never-married,Craft-repair,Not-in-family,White,0,0,50,United-States,Bachelors,Private,,<=50K,27
Male,149624,White,13,Married-civ-spouse,Prof-specialty,Husband,White,0,0,40,United-States,Bachelors,State-gov,,>50K,28
Female,253814,White,9,Married-spouse-absent,Sales,Unmarried,White,0,0,25,United-States,HS-grad,Private,,<=50K,27
Male,312956,Black,9,Never-married,Craft-repair,Own-child,Black,0,0,40,United-States,HS-grad,Private,,<=50K,21
Male,483777,Black,9,Never-married,Handlers-cleaners,Not-in-family,Black,0,0,40,United-States,HS-grad,Private,,<=50K,34
Male,183930,White,9,Never-married,Other-service,Own-child,White,0,0,12,United-States,HS-grad,Private,,<=50K,18
Male,37274,White,13,Married-civ-spouse,Prof-specialty,Husband,White,0,0,65,United-States,Bachelors,Private,,<=50K,33
Male,181344,Black,10,Married-civ-spouse,Exec-managerial,Husband,Black,0,0,38,United-States,Some-college,Local-gov,,>50K,44
Female,114580,White,10,Divorced,Adm-clerical,Not-in-family,White,0,0,40,United-States,Some-college,Private,,<=50K,43
Male,633742,Black,10,Never-married,Craft-repair,Not-in-family,Black,0,0,45,United-States,Some-college,Private,,<=50K,30
Male,286370,White,4,Married-civ-spouse,Machine-op-inspct,Husband,White,0,0,40,Mexico,7th-8th,Private,,>50K,40
Male,29054,White,10,Married-civ-spouse,Adm-clerical,Husband,White,0,0,42,United-States,Some-college,Federal-gov,,>50K,37
Male,304030,Black,9,Married-civ-spouse,Adm-clerical,Husband,Black,0,0,40,United-States,HS-grad,Private,,<=50K,34
Female,143129,White,13,Divorced,Exec-managerial,Not-in-family,White,0,0,40,United-States,Bachelors,Self-emp-not-inc,,<=50K,41
Female,135105,White,13,Divorced,?,Not-in-family,White,0,0,50,United-States,Bachelors,?,,<=50K,53
Female,99928,White,14,Married-civ-spouse,Prof-specialty,Wife,White,0,0,50,United-States,Masters,Private,,<=50K,31
Male,109567,White,16,Married-civ-spouse,Prof-specialty,Husband,White,0,0,1,United-States,Doctorate,State-gov,,>50K,58
Female,155222,Black,10,Divorced,Machine-op-inspct,Not-in-family,Black,0,0,28,United-States,Some-college,Private,,<=50K,38
Male,159567,White,10,Married-civ-spouse,Machine-op-inspct,Husband,White,0,0,40,United-States,Some-college,Private,,<=50K,24
Male,523910,Black,#NAME?,Married-civ-spouse,Craft-repair,Husband,Black,0,0,40,United-States,?,Local-gov,,<=50K,41
Male,120939,White,10,Married-civ-spouse,Tech-support,Husband,White,0,0,45,United-States,Some-college,Private,,<=50K,47
Male,130760,White,13,Married-civ-spouse,Tech-support,Husband,White,0,0,24,United-States,Bachelors,Federal-gov,,<=50K,41
Male,197387,White,3,Married-civ-spouse,Transport-moving,Other-relative,White,0,0,40,Mexico,5th-6th,Private,,<=50K,23
Male,99374,White,10,Divorced,Craft-repair,Not-in-family,White,0,0,40,United-States,Some-college,Private,,<=50K,36
Female,56795,#NAME?,14,Never-married,Exec-managerial,Not-in-family,#NAME?,14084,0,55,United-States,Masters,Federal-gov,,>50K,40
Male,138992,White,14,Married-civ-spouse,Prof-specialty,Other-relative,White,7298,0,40,United-States,Masters,Private,,>50K,35
Male,32921,White,9,Never-married,Sales,Not-in-family,White,0,0,40,United-States,HS-grad,Self-emp-not-inc,,<=50K,24
Female,#NAME?,White,14,Never-married,Prof-specialty,Not-in-family,White,0,1876,40,United-States,Masters,Private,,<=50K,26
Male,170653,White,9,Never-married,?,Own-child,White,0,0,40,Italy,HS-grad,?,,<=50K,19
Male,259323,White,13,Married-civ-spouse,Exec-managerial,Husband,White,0,0,50,United-States,Bachelors,Private,,>50K,51
Female,254817,White,10,Never-married,Prof-specialty,Not-in-family,White,0,1340,40,United-States,Some-college,Local-gov,,<=50K,42
Female,48211,White,9,Divorced,Adm-clerical,Unmarried,White,0,0,35,United-States,HS-grad,State-gov,,<=50K,37
Female,140164,White,7,Never-married,Sales,Own-child,White,0,0,40,United-States,11th,Private,,<=50K,18
Male,128757,Black,13,Married-civ-spouse,Other-service,Husband,Black,7298,0,36,United-States,Bachelors,Private,,>50K,36
Male,36270,White,9,Divorced,Craft-repair,Not-in-family,White,0,0,60,United-States,HS-grad,Private,,<=50K,35
Female,210563,White,9,Married-civ-spouse,Sales,Wife,White,15024,0,35,United-States,HS-grad,Self-emp-inc,,>50K,58
Female,65368,#NAME?,7,Never-married,Sales,Own-child,#NAME?,0,0,12,United-States,11th,Private,,<=50K,17
Male,160943,Black,9,Married-civ-spouse,Transport-moving,Husband,Black,0,0,40,United-States,HS-grad,Local-gov,,<=50K,44
Male,208358,White,#NAME?,Married-civ-spouse,Craft-repair,Husband,White,0,0,40,United-States,?,Private,,>50K,37
Female,153790,Amer-Indian-Eskimo,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,0,0,40,United-States,Some-college,Private,,<=50K,35
Male,85815,Asian-Pac-Islander,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,0,0,40,United-States,HS-grad,Private,,<=50K,60
Male,125417,White,4,Married-civ-spouse,Machine-op-inspct,Husband,White,0,0,40,United-States,7th-8th,Self-emp-inc,,>50K,54
Male,635913,Black,13,Never-married,Exec-managerial,Not-in-family,Black,0,0,60,United-States,Bachelors,Private,,>50K,37
Female,313321,White,12,Divorced,Sales,Not-in-family,White,0,0,40,United-States,Assoc-acdm,Private,,<=50K,50
Male,182609,White,13,Married-civ-spouse,Sales,Husband,White,0,0,50,Poland,Bachelors,Private,,<=50K,38
Male,109434,#NAME?,13,Married-civ-spouse,Prof-specialty,Husband,#NAME?,0,0,55,United-States,Bachelors,Private,,<=50K,45
Male,255004,White,6,Never-married,Craft-repair,Not-in-family,White,0,0,40,United-States,10th,Private,,<=50K,25
Male,197860,White,10,Married-civ-spouse,Handlers-cleaners,Husband,White,0,0,40,United-States,Some-college,Private,,<=50K,31
Male,187656,White,2,Divorced,?,Not-in-family,White,0,0,40,United-States,1st-4th,?,,<=50K,64
Male,51744,Black,9,Never-married,Other-service,Not-in-family,Black,0,2206,40,United-States,HS-grad,Private,,<=50K,90
Male,176681,Black,9,Married-civ-spouse,Adm-clerical,Husband,Black,0,0,20,United-States,HS-grad,Private,,<=50K,54
Female,140359,White,1,Never-married,Machine-op-inspct,Not-in-family,White,0,0,35,United-States,Preschool,Local-gov,,<=50K,53
Female,243313,White,9,Never-married,Sales,Own-child,White,0,0,40,United-States,HS-grad,Private,,<=50K,18
Female,24215,Amer-Indian-Eskimo,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,0,0,10,United-States,10th,?,,<=50K,60
Male,167687,White,9,Married-civ-spouse,Farming-fishing,Husband,White,1409,0,50,United-States,HS-grad,Self-emp-not-inc,,<=50K,66
